Feature,Importance
char_tfidf_tio,21
char_tfidf_uer,21
char_tfidf_mai,21
word_tfidf_html,21
word_tfidf_rce,21
word_tfidf_10,21
word_tfidf_javascript,21
word_tfidf_apache,21
word_tfidf_2520,20
char_tfidf_data,20
char_tfidf_assw,20
word_tfidf_gif http,20
word_tfidf_direccion 2f,20
word_tfidf_system,20
char_tfidf_lli,20
word_tfidf_get,20
word_tfidf_conf,20
char_tfidf_st ,20
char_tfidf_../,19
char_tfidf_1%2,19
char_tfidf_tex,19
char_tfidf_tion,19
word_tfidf_provincia,19
word_tfidf_all,19
char_tfidf_cio,19
word_tfidf_u003a,19
char_tfidf_b%2,19
char_tfidf_\u0,19
word_tfidf_u006a,19
word_tfidf_8080 tienda1,19
word_tfidf_config,19
char_tfidf_3a%,19
word_tfidf_div,19
word_tfidf_u002a,19
char_tfidf_/..,19
word_tfidf_href,18
char_tfidf_bre,18
char_tfidf_tib,18
word_tfidf_java,18
char_tfidf_age,18
char_tfidf_007,18
double_quote_imbalance,18
char_tfidf_sio,18
char_tfidf_docty,18
word_tfidf_example,18
char_tfidf_dad=,18
word_tfidf_set,18
char_tfidf_ion=,18
word_tfidf_randnum,18
word_tfidf_the,18
word_tfidf_style,18
char_tfidf_late,18
char_tfidf_ntc,18
char_tfidf_tic,17
char_tfidf_hos,17
word_tfidf_windows,17
char_tfidf_reg,17
word_tfidf_amp,17
char_tfidf_gec,17
has_ssti_hash,17
char_tfidf_pass,17
char_tfidf_ co,17
word_tfidf_u0024 u007b,17
char_tfidf_user,17
char_tfidf_d%252,17
char_tfidf_253d,17
word_tfidf_etc passwd,16
char_tfidf_ttp,16
char_tfidf_type,16
char_tfidf_eck,16
char_tfidf_255,16
char_tfidf_%3e,16
word_tfidf_admin,16
char_tfidf_ero,16
word_tfidf_25257c,16
char_tfidf_3e%,16
word_tfidf_u002f,16
char_tfidf_53d,16
word_tfidf_bak,16
word_tfidf_2fn,16
word_tfidf_0x7f000001,16
word_tfidf_dni,16
char_tfidf_&b1,16
char_tfidf_ose,16
char_tfidf_rec,16
word_tfidf_microsoft,16
word_tfidf_img,16
char_tfidf_e c,16
char_tfidf_078,16
char_tfidf_d%25,16
char_tfidf_d\u,16
char_tfidf_rag,16
char_tfidf_ pr,15
char_tfidf_def,15
char_tfidf_oca,15
word_tfidf_login,15
has_double_encoding,15
word_tfidf_u0061 u006c,15
char_tfidf_yst,15
char_tfidf_3b%,15
char_tfidf_b1=,15
char_tfidf_/**/,15
has_ifs_bypass,15
char_tfidf_pre,15
char_tfidf_ed ,15
char_tfidf_ml ,15
word_tfidf_net,15
char_tfidf_pat,15
char_tfidf_tc%,15
word_tfidf_registro,15
word_tfidf_id nombre,15
char_tfidf_tra,15
word_tfidf_nombre,15
char_tfidf_03a\u,15
char_tfidf_ema,15
char_tfidf_egi,15
char_tfidf_ill,15
char_tfidf_/et,15
word_tfidf_la,15
char_tfidf_ach,15
char_tfidf_agm,14
word_tfidf_u0078 u006d,14
char_tfidf_+ca,14
word_tfidf_aux,14
word_tfidf_5d,14
word_tfidf_u0068 u006f,14
word_tfidf_data,14
char_tfidf_7d%,14
word_tfidf_direccion calle,14
word_tfidf_lang,14
char_tfidf_25c,14
word_tfidf_u0024,14
word_tfidf_sleep,14
char_tfidf_005,14
word_tfidf_00,14
char_tfidf_www,14
char_tfidf_ro&,14
char_tfidf_len,14
char_tfidf_ding,14
char_tfidf_pos,14
char_tfidf_20%2,13
word_tfidf_u0074 u0068,13
word_tfidf_u0067 u006f,13
char_tfidf_53a,13
word_tfidf_program files,13
word_tfidf_proc,13
word_tfidf_payload,13
word_tfidf_u0074 u0063,13
word_tfidf_gopher,13
word_tfidf_get http,13
word_tfidf_25,13
char_tfidf_test,13
word_tfidf_cookie,13
word_tfidf_no,13
sql_keyword_count,13
char_tfidf_cac,13
char_tfidf_f%2,13
char_tfidf_foo,13
char_tfidf_arr,13
char_tfidf_520,13
word_tfidf_source,13
word_tfidf_2527,13
word_tfidf_u0029,13
char_tfidf_22%,13
word_tfidf_e9,13
word_tfidf_2526,13
char_tfidf_nci,13
word_tfidf_api,13
word_tfidf_u0020,13
char_tfidf_ad=,13
word_tfidf_u003b,13
char_tfidf_d c,13
word_tfidf_u0065,13
word_tfidf_svg,13
char_tfidf_nco,13
char_tfidf_a\u0,13
char_tfidf_ten,12
char_tfidf_ssi,12
char_tfidf_&b1=,12
char_tfidf_ept,12
char_tfidf_3d%,12
char_tfidf_tar,12
char_tfidf_24%2,12
char_tfidf_0020,12
word_tfidf_direccion,12
char_tfidf_cci,12
word_tfidf_f3n,12
char_tfidf_vil,12
word_tfidf_8080,12
char_tfidf_2c+,12
word_tfidf_cp,12
char_tfidf_004,12
char_tfidf_modo,12
char_tfidf_%2520,12
char_tfidf_bro,12
char_tfidf_ang,12
char_tfidf_mod,12
word_tfidf_u0025 u0033,12
char_tfidf_ain,12
word_tfidf_al,12
word_tfidf_tmp,12
word_tfidf_out,12
char_tfidf_b\u,12
char_tfidf_lan,12
char_tfidf_p%2,12
word_tfidf_b2,12
word_tfidf_cat,12
char_tfidf_code,12
word_tfidf_28,12
char_tfidf_%24%,12
word_tfidf_calle,12
char_tfidf_sle,12
char_tfidf_%20%2,12
char_tfidf_iiw,12
word_tfidf_254,11
word_tfidf_example com,11
word_tfidf_errormsg,11
char_tfidf_030,11
char_tfidf_/**,11
char_tfidf_lol,11
word_tfidf_entrar http,11
word_tfidf_u005c,11
char_tfidf_f\u0,11
char_tfidf_html,11
char_tfidf_los,11
char_tfidf_ngu,11
word_tfidf_fe80,11
